Time,Mass (grams),Speed (rad/s)
0.0003650188446044922,-0.06181246757507324218,0
0.0005888938903808594,-0.06233630180358886718,2.5
0.00072479248046875,-0.07255107879638671875,2.5
0.0008580684661865234,-0.06495547294616699218,2.5
0.0009989738464355469,-0.06521739006042480468,2.5
0.0011448860168457031,-0.06966998577117919921,2.5
0.0013020038604736328,-0.08040859222412109375,2.5
0.0014340877532958984,-0.08014667510986328125,2.5
0.0015630722045898438,-0.06521739006042480468,2.5
0.001689910888671875,-0.05866946220397949218,2.5
0.0018317699432373047,-0.06809848785400390625,2.5
0.00196075439453125,-0.07569408416748046875,2.5
0.002089977264404297,-0.07202724456787109375,2.5
0.002228975296020508,-0.07909900665283203125,2.5
0.0023610591888427734,-0.06574122905731201171,2.5
0.0025010108947753906,-0.04793085575103759765,2.5
0.0026421546936035156,-0.06521739006042480468,2.5
0.002775907516479492,-0.08093243598937988281,2.5
0.002917051315307617,-0.08014667510986328125,2.5
0.0030460357666015625,-0.06809848785400390625,2.5
0.0031900405883789062,-0.06207438468933105468,2.5
0.003340005874633789,-0.07569408416748046875,2.5
0.003489971160888672,-0.08067050933837890625,2.5
0.003632068634033203,-0.07805133342742919921,2.5
0.003763914108276367,-0.07333683013916015625,2.5
0.0038928985595703125,-0.06783657073974609375,2.5
0.004037141799926758,-0.05369303226470947265,2.5
0.00416874885559082,-0.05238344669342041015,2.5
0.004297971725463867,-0.05631220817565917968,2.5
0.004446983337402344,-0.06888423919677734375,2.5
0.004589080810546875,-0.07412257671356201171,2.5
0.004724979400634766,-0.06469356536865234375,2.5
0.0048580169677734375,-0.06390780925750732421,2.5
0.0049860477447509766,-0.07359874248504638671,2.5
0.005114078521728516,-0.08093243598937988281,2.5
0.005243062973022461,-0.07281299591064453125,2.5
0.005383014678955078,-0.06233630180358886718,2.5
0.005514860153198242,-0.07097957134246826171,2.5
0.0056438446044921875,-0.06626505851745605468,2.5
0.005774021148681641,-0.05997904777526855468,2.5
0.005906820297241211,-0.05893137931823730468,2.5
0.0060689449310302734,-0.09062336921691894531,2.5
0.006198883056640625,-0.09559979438781738281,2.5
0.00632786750793457,-0.08407544136047363281,2.5
0.006457090377807617,-0.08852803230285644531,2.5
0.006618022918701172,-0.07569408416748046875,2.5
0.0067479610443115234,-0.06286013603210449218,2.5
0.006875038146972656,-0.06286013603210449218,2.5
0.007002115249633789,-0.07202724456787109375,2.5
0.007133007049560547,-0.09350445747375488281,2.5
0.00726008415222168,-0.07988476276397705078,2.5
0.007388114929199219,-0.10057622194290161132,2.5
0.007517099380493164,-0.14484024047851562500,2.5
0.007645845413208008,-0.13698272705078125000,2.5
0.007774829864501953,-0.13645888566970825195,2.5
0.007901906967163086,-0.14248298645019531250,2.5
0.008028984069824219,-0.14012572765350341796,2.5
0.008157014846801758,-0.13907804489135742187,2.5
0.00827789306640625,-0.14641175270080566406,2.5
0.008387088775634766,-0.13855421543121337890,2.5
