Time,Mass (grams),Speed (rad/s)
0.00039887428283691406,0.01545311689376831054,0
0.0006320476531982422,-0.00654793071746826171,2.5
0.0007948875427246094,-0.00419067573547363281,2.5
0.0009400844573974609,-0.01440544700622558593,2.5
0.001071929931640625,-0.01231011033058166503,2.5
0.0012159347534179688,-0.00104766893386840820,2.5
0.001348733901977539,-0.00445259332656860351,2.5
0.001474142074584961,0.00209533786773681640,2.5
0.0015969276428222656,0.00445259332656860351,2.5
0.0018298625946044922,0.01021477222442626953,2.5
0.002009868621826172,0.00733368301391601562,2.5
0.0021440982818603516,-0.01781037330627441406,2.5
0.0022819042205810547,-0.02042954444885253906,2.5
0.002410888671875,0.01938187789916992187,2.5
0.002547025680541992,-0.00445259332656860351,2.5
0.0027010440826416016,-0.00890518665313720703,2.5
0.0028297901153564453,-0.00969093894958496093,2.5
0.0029571056365966797,-0.00026191723346710205,2.5
0.003083944320678711,-0.00602409648895263671,2.5
0.0032367706298828125,-0.01964379310607910156,2.5
0.0033669471740722656,0.01597695255279541015,2.5
0.0034990310668945312,0.01623886823654174804,2.5
0.0036318302154541016,-0.00052383446693420410,2.5
0.0037560462951660156,0.00759560012817382812,2.5
0.0038840770721435547,-0.01021477222442626953,2.5
0.004006862640380859,0.01047668933868408203,2.5
0.004141092300415039,0.00314300680160522460,2.5
0.004280805587768555,0.01702462196350097656,2.5
0.004405975341796875,0.01545311689376831054,2.5
0.004534006118774414,-0.00890518665313720703,2.5
0.0046558380126953125,0.00026191723346710205,2.5
0.004786968231201172,0.00288108940124511718,2.5
0.0049169063568115234,-0.01309586167335510253,2.5
0.005085945129394531,-0.00523834466934204101,2.5
0.00521397590637207,-0.01361969709396362304,2.5
0.005342006683349609,-0.01152435779571533203,2.5
0.005489826202392578,-0.00366684150695800781,2.5
0.0056231021881103516,-0.00288108940124511718,2.5
0.005751132965087891,-0.00261917233467102050,2.5
0.005876064300537109,-0.01702462196350097656,2.5
0.006006002426147461,-0.01990571022033691406,2.5
0.006134986877441406,-0.00942902088165283203,2.5
0.006270885467529297,-0.00811943435668945312,2.5
0.006402015686035156,-0.01073860764503479003,2.5
0.006540060043334961,0.00078575172424316406,2.5
0.006669759750366211,-0.00890518665313720703,2.5
0.0068280696868896484,-0.00104766893386840820,2.5
0.006961822509765625,0.00104766893386840820,2.5
0.007085084915161133,0.02121529817581176757,2.5
0.007205963134765625,0.03562074661254882812,2.5
