(ω) Rotational velocity (rad/s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
25.0,0.0,0.0,0.0,-2.018486521467E-5,-2.009048885137E-5,0.006324794413492,-2.882287630323E-5,-2.314597456988E-5,0.001980967973896,-8.638011088561E-6,-3.055485718519E-6,-0.004343826439597
50.0,0.0,0.0,0.0,-2.753689569023E-5,-3.36450873554E-5,0.020730325047,-8.973653074687E-5,-5.84711176573E-5,0.009114197651242,-6.219963505664E-5,-2.48260303019E-5,-0.01161612739576
75.0,0.0,0.0,0.0,1.87522279949E-4,-1.434007469793E-4,0.04507016336713,4.662367819961E-7,-1.283645818207E-4,0.02519058594806,-1.87056043167E-4,1.50361651586E-5,-0.01987957741908
100.0,0.0,0.0,0.0,4.704238712873E-4,-7.625950289714E-5,0.08070825092266,5.006297746182E-5,-6.126347401164E-5,0.05149121164624,-4.203608938255E-4,1.49960288855E-5,-0.02921703927643
125.0,0.0,0.0,0.0,0.001091775106543,-2.751228856447E-4,0.1284412495509,5.649896172654E-4,-1.873464632143E-4,0.08913320566764,-5.267854892777E-4,8.777642243044E-5,-0.03930804388326
150.0,0.0,0.0,0.0,8.058381384589E-4,-8.052355212698E-4,0.1889340864731,1.299395806052E-4,-7.064649420566E-4,0.1392296567812,-6.758985578538E-4,9.877057921317E-5,-0.04970442969188
175.0,0.0,0.0,0.0,9.671393986223E-4,-8.821138779998E-4,0.2615856607236,1.152917687412E-4,-5.343507798237E-4,0.200901664254,-8.518476298811E-4,3.47763098176E-4,-0.06068399646961
200.0,0.0,0.0,0.0,4.671570780429E-4,-0.001431806036508,0.3468706565493,-4.508708968055E-4,-0.001048395278321,0.2749557549116,-9.180279748484E-4,3.83410758187E-4,-0.07191490163773
